,date,max temperature,min temperature,daily_avg_temp,Daily Temperature range
0,2008-06-12,41.6,27.2,34.4,14.400000000000002
1,2008-06-13,39.5,24.5,32.0,15.0
2,2008-06-14,39.0,24.2,31.6,14.8
3,2008-06-15,38.9,21.6,30.25,17.299999999999997
4,2008-06-16,38.7,25.2,31.950000000000003,13.500000000000004
5,2008-06-17,36.3,24.4,30.349999999999998,11.899999999999999
6,2008-06-18,33.0,20.4,26.7,12.600000000000001
7,2008-06-19,34.0,19.4,26.7,14.600000000000001
8,2008-06-20,35.9,20.6,28.25,15.299999999999997
9,2008-06-21,37.3,22.8,30.049999999999997,14.499999999999996
10,2008-06-22,38.6,23.7,31.15,14.900000000000002
11,2008-06-23,39.7,24.4,32.05,15.300000000000004
12,2008-06-24,38.9,25.9,32.4,13.0
13,2008-06-25,36.3,24.2,30.25,12.099999999999998
14,2008-06-26,37.0,22.4,29.7,14.600000000000001
15,2008-06-27,37.4,23.3,30.35,14.099999999999998
16,2008-06-28,39.0,24.6,31.8,14.399999999999999
17,2008-06-29,39.9,25.6,32.75,14.299999999999997
18,2008-06-30,38.4,26.2,32.3,12.2
19,2008-07-01,36.2,24.4,30.3,11.800000000000004
20,2008-07-02,35.9,23.6,29.75,12.299999999999997
21,2008-07-03,38.7,23.3,31.0,15.400000000000002
22,2008-07-04,39.2,25.2,32.2,14.000000000000004
23,2008-07-05,38.3,26.4,32.349999999999994,11.899999999999999
24,2008-07-06,37.8,25.2,31.5,12.599999999999998
25,2008-07-07,37.2,23.3,30.25,13.900000000000002
26,2008-07-08,37.1,23.6,30.35,13.5
27,2008-07-09,35.8,24.6,30.2,11.199999999999996
28,2008-07-10,38.4,21.1,29.75,17.299999999999997
29,2008-07-11,36.7,23.3,30.0,13.400000000000002
30,2008-07-12,36.5,23.3,29.9,13.2
31,2008-07-13,36.1,23.4,29.75,12.700000000000003
32,2008-07-14,38.5,23.6,31.05,14.899999999999999
